IncidentID,start,end,RoadName,CommonName,Direction,CrossStreetName,CrossStCommonName,Latitude,ConditionName,IncidentType,Event,EventName,Reason,day,dur
394977,2011-12-07T21:41:00Z,2011-12-08T15:46:20Z,US-441,Newfound Gap Rd,Both Directions,NA,NA,35.54036311,Road Closed,Weather Event,1,None,"All lanes closed in both directions on US-441, North East of Bryson City, due to inclement weather.",2011-12-07,0.7537037037037037
395629,2011-12-27T11:50:00Z,2011-12-27T13:09:49Z,US-441,NA,Both Directions,NA,NA,35.55247961,Road Closed,Weather Event,1,None,Road closed through the Great Smoky Mountains National Park due to ice and snow.,2011-12-27,0.055428240740740736
396313,2012-01-18T12:21:00Z,2012-02-01T17:00:00Z,SR-1730,Elwell Ferry Rd,Both Directions,NA,NA,34.47436837,Road Closed,Weather Event,1,None,The Elwell Ferry Road Ferry is closed at the Cape Fear River due to high water.,2012-01-18,14.19375
397287,2012-02-12T19:54:00Z,2012-02-12T22:00:00Z,US-264,NA,Both Directions,NC-231,NC-231,35.78968405,Road Closed,Weather Event,1,None,"Road closed due to low visibility at mile marker 24, from brush fires on NC Hwy 231, near the Wilson County line.",2012-02-12,0.05453703703703704
397288,2012-02-12T22:17:00Z,2012-02-13T13:11:51Z,US-441,NA,Both Directions,NA,NA,35.49949574,Road Closed,Weather Event,1,None,"US-441 (Newfound Gap Road) is closed between Cherokee, NC and Gatlinburg, TN due to snow and ice",2012-02-12,0.6214236111111111
397332,2012-02-14T11:42:00Z,2012-02-14T17:04:35Z,US-441,NA,Both Directions,NA,NA,35.56473391,Road Closed,Weather Event,1,None,"US-441 (Newfound Gap Road) is closed between Cherokee, NC and Gatlinburg, TN due to snow and ice.",2012-02-14,0.2240162037037037
397532,2012-02-20T00:01:00Z,2012-02-20T15:00:58Z,US-441,Newfound Gap Rd,Both Directions,NA,NA,35.20563889,Road Closed,Weather Event,1,None,"US-441 (Newfound Gap Road) is closed between Cherokee, NC and Gatlinburg, TN due to snow and ice",2012-02-19,0.6249768518518518
398055,2012-03-05T11:52:00Z,2012-03-05T17:43:16Z,US-441,NA,Both Directions,NA,NA,35.59304081,Road Closed,Weather Event,1,None,US 441 through the Great Smoky Mountains National Park is closed due to snow and ice.,2012-03-05,0.24393518518518517
398967,2012-03-25T02:19:00Z,2012-03-26T20:30:00Z,SR-1707,Corbett Rd,Both Directions,SR-1708,Cannan Rd,35.25171728,Road Closed,Weather Event,1,None,"Corbett Road is closed between Cannan Road and NC-55, Mount Olive Highway, due to high water.",2012-03-24,1.7576388888888888
399116,2012-03-28T21:09:00Z,2012-08-30T20:30:00Z,SR-1308,Nutbush Road,Both Directions,NA,NA,36.28667831,Road Closed with Detour,Weather Event,1,None,Road closed due to flooding.,2012-03-28,1.9033449074074074
401319,2012-05-15T02:00:00Z,2012-05-15T11:00:00Z,SR-1570,Dinkins Bottom Rd,Both Directions,SR-1001,SR-1001,36.10584378,Road Closed,Weather Event,1,None,Road closed on Dinkins Bottom Rd (SR 1570) due to flooding near Courtney Huntsville Rd (SR 1001).,2012-05-14,-0.1458912037037037
401804,2012-05-24T14:59:00Z,2012-05-25T01:00:00Z,SR-1760,Mobleys Bridge Rd,Both Directions,SR-1768,Foster Rd,35.55886883,Road Closed,Weather Event,1,None,water across road,2012-05-24,0.41736111111111107
401805,2012-05-24T15:02:00Z,2012-05-24T21:18:24Z,SR-1711,Worthington,Both Directions,SR-1709,SR-1709,35.5258698,Road Closed,Weather Event,1,None,water across road,2012-05-24,0.2613888888888889
401806,2012-05-24T15:04:00Z,2012-05-25T01:00:00Z,SR-1565,Grimesland Bridge Rd,Both Directions,SR-1780,Boyds Rd,35.53323902,Road Closed,Weather Event,1,None,road flooded,2012-05-24,0.41388888888888886
401808,2012-05-24T15:06:00Z,2012-05-24T21:10:23Z,SR-1755,Blackjack-Simpson Rd,Both Directions,SR-1774,SR-1774,35.50924293,Road Closed,Weather Event,1,None,road flooded,2012-05-24,0.2530439814814815
401809,2012-05-24T15:08:00Z,2012-05-24T21:18:41Z,SR-1772,Hudsons Crossroads,Both Directions,SR-1777,SR-1777,35.52038611,Road Closed,Weather Event,1,None,road flooded,2012-05-24,0.25741898148148146
401810,2012-05-24T15:11:00Z,2012-05-24T16:41:35Z,SR-1756,J. C. Galloway,Both Directions,SR-1777,SR-1777,35.53315171,Road Closed,Weather Event,1,None,road flooded,2012-05-24,0.0629050925925926
401815,2012-05-24T16:36:00Z,2012-05-25T01:00:00Z,SR-1750,Ervin Buck Rd,Both Directions,NC-43,NC-43,35.4680102,Road Closed,Weather Event,1,None,road flooded,2012-05-24,0.35
401816,2012-05-24T16:38:00Z,2012-05-24T21:12:17Z,SR-1749,Grover Hardee Rd,Both Directions,SR-1750,SR-1750,35.47632833,Road Closed,Weather Event,1,None,road flooded,2012-05-24,0.19047453703703704
402038,2012-05-30T20:41:00Z,2012-06-01T21:41:00Z,SR-1159,Old Kinston Rd,Both Directions,NC-58,NC-58,35.09891451,Road Closed,Weather Event,1,None,Closed due to flooding.,2012-05-30,2.0416666666666665
402043,2012-05-30T21:17:00Z,2012-05-31T22:00:00Z,SR-1501,Woodland Church Road,Both Directions,SR-1500,SR-1500,35.446476,Road Closed,Weather Event,1,None,Flooding. Road closed from the intersection of SR 1500 (Tram Road) to the intersection of SR 1519 (John David Grady Road).,2012-05-30,0.888287037037037
402060,2012-05-30T22:50:00Z,2012-05-31T12:42:37Z,SR-1429,Slippery Log Rd,Both Directions,SR-1005,SR-1005,34.31040513,Road Closed,Weather Event,1,None,Road closed due to flooding at Benson Millpond (East of SR 1005 - Peacock Road),2012-05-30,0.5782060185185185
402109,2012-05-31T19:33:00Z,2012-06-04T19:12:22Z,SR-1517,REBECCA KENNEDY RD,Heading West,SR-1636,SR-1636,34.42308024,Road Closed,Weather Event,1,None,Rebecca Kennedy Rd is closed from Martin Marietta Rd to Mooretown Rd due to flooding from storm.,2012-05-31,3.985671296296296
402137,2012-06-01T11:55:00Z,2012-06-04T01:00:00Z,SR-1440,Streets Ferry Road,Both Directions,NA,US 17,35.29684358,Road Closed with Detour,Weather Event,1,None,Road closed at bridge due to high waters.,2012-06-01,2.545138888888889
406431,2012-08-25T15:02:00Z,2012-08-25T20:02:00Z,I-95,NA,Both Directions,US-158,US-158,36.43058803,Road Closed,Weather Event,1,None,"Due to flooding, the road is closed at Exit 173. Motorist are advised to use caution and follow detour signs.",2012-08-25,0.20833333333333331
406432,2012-08-25T16:35:00Z,2012-08-25T19:35:00Z,US-158,NA,Both Directions,NC-48,NC-48,36.44214384,Road Closed,Weather Event,1,None,"Road closed at NC 48 due to high water, motorist are advised to use alternate routes and follow all traffic signs.",2012-08-25,0.125
406433,2012-08-25T16:37:00Z,2012-08-25T19:37:00Z,NC-48,NA,Both Directions,US-158,US-158,36.44214384,Road Closed,Weather Event,1,None,"The road is closed at US 158 due to high water, motorist are advised to use alternate routes and follow all traffic signs.",2012-08-25,0.125
406443,2012-08-25T22:16:00Z,2012-08-27T00:19:02Z,NC-46,NC 46,Both Directions,SR-1220,SR-1220,36.50412,Road Closed with Detour,Weather Event,1,None,Road washed out due to flooding.,2012-08-25,1.0854398148148148
406444,2012-08-25T22:22:00Z,2012-08-26T14:11:30Z,SR-1333,Mt. Carmel Road,Both Directions,SR-1328,SR-1328,36.45726,Road Closed,Weather Event,1,None,Flooding,2012-08-25,0.6593749999999999
406459,2012-08-27T00:19:00Z,2012-08-28T17:00:00Z,US-301,US 301,Both Directions,SR-1300,SR-1300,36.502547,Road Closed with Detour,Weather Event,1,None,Flooding,2012-08-26,1.6271180555555556
406878,2012-09-04T17:17:00Z,2012-09-28T21:17:00Z,SR-1605,Round Peak Ch. Rd.,Both Directions,SR-1397,SR-1397,36.3,Road Closed,Weather Event,1,None,NA,2012-09-04,14.82554398148148
406879,2012-09-04T17:22:00Z,2012-10-25T19:55:37Z,SR-1342,Tobe Hudson Rd,Both Directions,SR-1343,SR-1343,36.40680984,Road Closed,Weather Event,1,None,NA,2012-09-04,51.10667824074074
407608,2012-09-18T14:39:00Z,2012-09-19T12:30:00Z,SR-1116,Watauga River,Both Directions,SR-1121,SR-1121,34.09369973,Road Closed,Weather Event,1,None,Heavy rains has caused the Watauga River to flood into the Watauga River Roadway .20 mile east of SR1121 Rominger Road.,2012-09-18,0.8903356481481481
407664,2012-09-19T11:21:00Z,2012-09-19T20:18:25Z,US-421,NA,Heading South,SR-1101,SR-1101,34.57965153,Road Impassable,Weather Event,1,None,"Water crossing US 421, due to rain fall over night.",2012-09-19,0.3732060185185185
409701,2012-10-28T07:58:00Z,2013-01-10T20:00:00Z,NC-12,NA,Both Directions,NA,NA,35.77106398,Lanes Narrowed,Congestion,116,Hurricane Sandy 2012,All lanes are currently open on NC-12.,2012-10-28,74.50138888888888
409715,2012-10-29T03:00:00Z,2012-10-29T17:23:40Z,US-441,NA,Both Directions,NA,NA,35.59224701,Road Closed,Weather Event,1,None,"US 441 is closed from Gatlinburg, TN to Cherokee, NC due to snow and ice.",2012-10-28,0.5997685185185185
409716,2012-10-29T04:04:00Z,2012-10-31T20:00:00Z,NC-12,NC-12,Both Directions,NA,NA,35.90726643,Road Impassable,Weather Event,116,Hurricane Sandy 2012,All lanes are reported as impassable due to high water in the roadway on Old Oregon Inlet/South Nags Head Rd near NC-12.,2012-10-28,2.3708912037037035
409733,2012-10-29T16:08:00Z,2012-10-30T22:00:00Z,SR-1500,Woodard Road,Both Directions,NC-308,Sans Souci,35.91286259,Road Closed,Weather Event,116,Hurricane Sandy 2012,Currently the water level is too low for the ferry to operate.,2012-10-29,1.2444444444444445
409734,2012-10-29T16:11:00Z,2012-10-30T22:00:00Z,SR-1306,Parker Ferry Rd,Both Directions,US-258,NA,36.48979985,Road Closed,Weather Event,116,Hurricane Sandy 2012,Currently the water level is too low for the ferry to operate.,2012-10-29,1.242361111111111
409756,2012-10-29T19:12:00Z,2012-11-01T20:00:00Z,US-158,US 158 (Croatan Hwy),Both Directions,SR-1206,SR-1206,36.06637647,Lane Closed,Weather Event,116,Hurricane Sandy 2012,The outside southbound travel lane is closed due to minor flooding. 1 of 5 lanes are closed.,2012-10-29,1.9774537037037037
409757,2012-10-29T19:38:00Z,2012-10-29T19:44:16Z,US-158,US-158,Both Directions,NC-12,NC-12,35.90723554,Road Impassable,Weather Event,1,None,All lanes are reported as closed due to high water and flooding in the roadway.  Motorists are advised to use an alternate route.,2012-10-29,0.0043518518518518515
409767,2012-10-29T22:29:00Z,2012-12-29T20:00:00Z,US-441,Newfound Gap Rd.,Both Directions,NA,NA,35.59224701,Road Closed,Weather Event,1,None,"US-441 (Newfound Gap Road)in Great Smokey Mountain Nation Park is closed between Cherokee, North Carolina and Gatlinburg, Tennessee, due to adverse weather. Use caution and watch for snow and ice.",2012-12-28,0.8069444444444444
409769,2012-10-29T22:33:00Z,2012-10-30T23:33:00Z,US-19,US-441,Both Directions,NA,NA,35.69553893,Road Closed,Weather Event,117,Winter Weather October 2012,"Blue Ridge Parkway from US-441 near Cherokee, NC to US-276 is closed due to snow and ice.",2012-10-29,1.0416666666666665
409775,2012-10-30T00:36:00Z,2012-10-30T01:50:09Z,US-158,US-158,Both Directions,SR-1206,SR-1206,36.00439575,Road Impassable,Weather Event,116,Hurricane Sandy 2012,"All lanes are reported as closed near Kitty Hawk Rd, due to high water and flooding.",2012-10-29,0.051493055555555556
409779,2012-10-30T09:17:00Z,2012-10-30T13:00:00Z,I-26,NA,Both Directions,NA,NA,35.93725864,Lanes Narrowed,Weather Event,117,Winter Weather October 2012,"Due to a weather event, the road has 3 inches of snow and is not recommended for travel until weather conditions improve.",2012-10-30,0.15486111111111112
409780,2012-10-30T09:25:00Z,2012-10-30T14:00:00Z,US-64,NA,Both Directions,NA,NA,35.74211884,Lanes Narrowed,Weather Event,117,Winter Weather October 2012,"Due to a weather event, there is patches of ice on the roadway and it is not recommended for travel.",2012-10-30,0.08333333333333333
409781,2012-10-30T09:29:00Z,2012-10-30T13:00:00Z,NC-194,NA,Both Directions,NA,NA,36.15365219,Lanes Narrowed,Weather Event,117,Winter Weather October 2012,"Due to a weather event, Avery County is snow covered  and not recommended for travel.",2012-10-30,0.08333333333333333
409782,2012-10-30T09:34:00Z,2012-10-30T13:00:00Z,US-221,NA,Both Directions,NA,NA,35.64385986,Lanes Narrowed,Weather Event,117,Winter Weather October 2012,"Due to a weather event, the road is slick and icy and not recommended for travel until weather conditions improve.",2012-10-30,0.14305555555555555
412403,2012-12-20T16:09:00Z,2012-12-21T03:57:34Z,US-441,NA,Both Directions,NA,NA,35.59224701,Road Closed,Weather Event,1,None,US 441 (Newfound Gap Rd.) is closed in both directions due to inclement weather. Motorist are advised to use an alternate route.,2012-12-20,0.4920601851851852
412459,2012-12-21T03:46:00Z,2012-12-27T17:00:00Z,US-441,NA,Both Directions,NA,NA,35.59224701,Road Closed,Weather Event,117,Winter Weather October 2012,The road is now open.,2012-12-26,0.7343981481481481
413136,2013-01-06T03:03:00Z,2013-01-07T01:00:00Z,US-441,Newfound Gap Rd.,Both Directions,NA,NA,35.48052202,Road Closed,Weather Event,1,None,"Per Smokey Mountains, this road is now open.",2013-01-05,0.5275925925925926
413613,2013-01-15T12:53:00Z,2013-02-28T13:53:00Z,US-19,BULLDOG Drive,Both Directions,US-19,US-19,35.09856339,Road Closed with Detour,Weather Event,1,None,Flooding,2013-01-15,44.041666666666664
413626,2013-01-15T14:03:00Z,2013-01-18T18:00:00Z,SR-1345,Farmers Fish Camp,Heading South,SR-1342,SR-1342,36.48661041,Road Closed,Weather Event,1,None,high water,2013-01-15,3.1645833333333333
413660,2013-01-15T21:15:00Z,2013-01-19T00:00:00Z,SR-1326,Tusquittee Creek Rd,Both Directions,SR-1307,SR-1307,35.07580778,Road Closed,Weather Event,1,None,Tusquittee Creek Road is closed to heavy rain and high water.,2013-01-15,1.1691898148148148
413662,2013-01-16T02:38:00Z,2013-01-20T03:38:00Z,SR-1115,NA,Heading West,NA,NA,36.13755035,Road Closed,Weather Event,1,None,SR 1115 - Little Snowbird Rd (gravel section only) is CLOSED due to mudslides.,2013-01-15,0.7335763888888889
413663,2013-01-16T03:41:00Z,2013-06-15T11:00:00Z,US-441,NA,Both Directions,NA,NA,35.59224701,Road Closed,Weather Event,1,None,"US-441, New Found Gap Road, is closed indefinitely due to a landslide.",2013-01-15,150.3048611111111
413686,2013-01-16T13:35:00Z,2013-01-17T14:35:00Z,SR-1540,Wilson Rd,Both Directions,SR-1504,SR-1504,36.40127945,Road Closed,Weather Event,1,None,Due to high water road is closed.,2013-01-16,1.0416666666666665
413695,2013-01-16T15:09:00Z,2013-01-17T14:30:00Z,SR-1207,Barclay Rd,Both Directions,US-276,US-276,35.53875178,Road Closed,Weather Event,1,None,Due to highwater road is closed.,2013-01-16,0.9729166666666667
413701,2013-01-16T13:00:00Z,2013-01-16T18:58:45Z,SR-1300,Fires Creek Rd,Both Directions,SR-1318,SR-1318,35.07038131,Road Closed,Weather Event,1,None,"Fires Creek Road is closed due to high water at the bridge of Tusquittee Creek, which is located near Buckner Road.",2013-01-16,0.24913194444444442
413758,2013-01-17T17:57:00Z,2013-01-18T15:00:00Z,SR-1540,Wilson Rd,Both Directions,SR-1504,SR-1504,36.40127945,Road Closed,Weather Event,1,None,Due to highwater road is closed,2013-01-17,0.8770833333333333
413764,2013-01-17T19:28:00Z,2013-01-17T20:28:00Z,SR-1536,Cascade Lake Rd,Both Directions,SR-1535,SR-1535,35.23725963,Road Closed,Weather Event,1,None,"Due to high water, Cascade Lake Road is closed at Merrill Lane.",2013-01-17,0.041666666666666664
413804,2013-01-18T00:38:00Z,2013-01-18T01:03:45Z,NC-197,NC-197,Both Directions,SR-1316,SR-1316,36.04286022,Road Closed,Weather Event,118,Winter Weather 1/17/2013,"Due to flooding, NC-197 is closed at SR 1316, Brummit Creek Road. Motorists traveling in the area are advised to use caution.",2013-01-17,0.017881944444444443
413809,2013-01-18T02:07:00Z,2013-01-22T20:00:00Z,NC-226,NC-226,Heading South,SR-1338,Fork Mountain,36.05726437,Road Closed,Weather Event,118,Winter Weather 1/17/2013,Road closed near Fork Mountain Road (SR 1338). Motorists traveling in the area are advised to use caution.,2013-01-17,4.745138888888889
413852,2013-01-18T13:09:00Z,2013-01-18T17:00:50Z,SR-1110,Island Ford Rd,Both Directions,SR-1103,SR-1103,35.51551056,Road Closed,Weather Event,1,None,Due to high water road is closed,2013-01-18,0.16099537037037037
413853,2013-01-18T13:15:00Z,2013-01-19T14:00:00Z,SR-1540,Wilson Rd,Both Directions,SR-1504,SR-1504,36.40127945,Road Closed,Weather Event,1,None,Due to high water Rd is closed,2013-01-18,1.03125
413855,2013-01-18T13:18:00Z,2013-01-19T14:00:00Z,SR-1207,Barclay,Both Directions,US-276,US-276,35.53875178,Road Closed,Weather Event,1,None,Due to high water road is closed,2013-01-18,1.0291666666666666
413872,2013-01-18T15:36:00Z,2013-01-18T18:05:14Z,SR-1652,Lockhart Rd,Both Directions,NA,NA,35.02577209,Road Closed,Weather Event,1,None,Road closed due to high water.,2013-01-18,0.10363425925925926
413939,2013-01-21T01:00:00Z,2013-01-21T20:29:25Z,SR-1650,Dennis Rd,Both Directions,NA,NA,35.9627533,Road Closed,Weather Event,1,None,Road closed due to high water.,2013-01-20,0.8120949074074074
414457,2013-01-30T23:27:00Z,2013-01-31T14:35:08Z,SR-1303,Lance Cove Rd,Both Directions,US-64,US-64,35.06804554,Road Closed,Weather Event,1,None,Lance Cove Road is closed due to high water from the heavy rain.,2013-01-30,0.6306481481481481
414458,2013-01-30T23:30:00Z,2013-01-31T14:36:12Z,SR-1318,Julia Buckner Rd,Both Directions,SR-1300,SR-1300,35.07027594,Road Closed,Weather Event,1,None,Julia Buckner Road is closed due to high water from the heavy rain.,2013-01-30,0.6293055555555556
414460,2013-01-30T23:30:00Z,2013-01-31T14:37:07Z,SR-1326,Tusquittee Creek Rd,Both Directions,SR-1307,SR-1307,35.07580778,Road Closed,Weather Event,1,None,Tusquittee Creek Road is closed due to high water from the heavy rain.,2013-01-30,0.6299421296296296
414467,2013-01-30T22:30:00Z,2013-01-31T02:13:05Z,NC-28,Bryson City Road,Both Directions,SR-1358,SR-1358,35.27901329,Road Closed,Weather Event,1,None,NC 28 (Bryson City Road) near Oak Grove Church Road is closed due to downed trees and power lines.,2013-01-30,0.15491898148148148
414470,2013-01-31T00:38:00Z,2013-02-04T15:00:00Z,SR-1345,Farmers Fish Camp,Both Directions,NC-93,NC-93,36.54262014,Road Closed,Weather Event,1,None,Bridge is completely out.,2013-01-30,4.5986111111111105
414481,2013-01-31T11:42:00Z,2013-01-31T20:07:24Z,SR-1331,Roby Greene Rd,Both Directions,SR-1391,SR-1391,36.23192981,Road Closed,Weather Event,119,Winter Weather 1/25/2013,Roadway under water due heavy rains,2013-01-31,0.3509722222222222
414483,2013-01-31T12:15:00Z,2013-01-31T20:08:21Z,SR-1609,New River Heights,Both Directions,US-221,US-221,36.61565275,Road Closed,Weather Event,119,Winter Weather 1/25/2013,Roadway under water due to heavy rains.,2013-01-31,0.32871527777777776
414484,2013-01-31T12:24:00Z,2013-02-05T23:24:00Z,SR-1116,Watauga River,Both Directions,SR-1122,SR-1122,36.23835973,Road Closed,Weather Event,1,None,Roadway is under water due too heavy rains.,2013-01-31,5.257905092592592
414490,2013-01-31T13:02:00Z,2013-02-28T21:00:00Z,SR-1344,Finney,Heading North,NC-93,NC-93,36.54377719,Road Closed,Weather Event,1,None,NA,2013-01-31,25.831944444444442
414495,2013-01-31T13:09:00Z,2013-02-01T21:00:00Z,SR-1308,Kings Creek Rd,Heading North,SR-1316,SR-1316,36.54384313,Road Closed,Weather Event,1,None,NA,2013-01-31,1.3270833333333332
414498,2013-01-31T13:49:00Z,2013-02-04T21:00:00Z,SR-1169,Irwin Valley Rd,Heading North,SR-1167,SR-1167,0,Road Closed,Weather Event,1,None,NA,2013-01-31,1.2993055555555555
414500,2013-01-31T05:01:00Z,2013-02-02T17:30:00Z,SR-1577,Jake Blackburn Rd,Heading North,SR-1501,Deep Ford Rd,36.46902666,Road Closed,Weather Event,1,None,Closed due to Washout.  Winter Weather and Flooding.,2013-01-31,2.520138888888889
414501,2013-01-31T05:01:00Z,2013-02-27T22:00:00Z,SR-1180,Will Vannoy Rd,Heading North,SR-1181,SR-1181,36.33400353,Road Closed,Weather Event,1,None,"Road is closed due to washout .10 mi. west of SR 1181, Lower Nettle Knob.  Winter Weather and Flood. Signs are not in place due to unavailability.  We do have small barricades out.",2013-01-31,27.707638888888887
414506,2013-01-31T14:50:00Z,2013-01-31T20:00:00Z,SR-1320,Huntdale Rd,Heading North,SR-1304,Tipton Hill Rd,0,Road Closed,Weather Event,1,None,Road closed due to high water.,2013-01-31,0.21527777777777776
414508,2013-01-31T15:00:00Z,2013-02-04T21:00:00Z,SR-1434,Clark Rd,Heading North,SR-1433,SR-1433,35.38834,Road Closed,Weather Event,1,None,NA,2013-01-31,4.25
414513,2013-01-31T15:34:00Z,2013-02-28T21:00:00Z,SR-1314,Deep Valley Rd,Heading North,NC-113,NC-113,36.56271994,Road Closed,Weather Event,1,None,NA,2013-01-31,17.945868055555554
414516,2013-01-31T16:27:00Z,2013-02-28T21:00:00Z,SR-1302,Weaver Rd,Heading North,SR-1300,Allen Rd,0,Road Closed,Weather Event,1,None,NA,2013-01-31,12.189583333333333
414518,2013-01-31T17:00:00Z,2013-02-08T21:00:00Z,SR-1128,Rifle Range,Heading South,NC-18,NC-18,35.55897765,Road Closed,Weather Event,1,None,NA,2013-01-31,5.166666666666666
414520,2013-01-31T05:52:00Z,2013-02-08T17:00:00Z,NC-113,NC113,Heading North,SR-1303,SR-1303,36.42943192,Road Closed with Detour,Weather Event,1,None,NA,2013-01-31,7.963888888888889
414534,2013-01-31T21:02:00Z,2013-02-08T22:02:00Z,SR-1318,Yearling,Heading North,SR-1317,SR-1317,36.50489044,Road Closed,Weather Event,1,None,NA,2013-01-31,5.041666666666666
414547,2013-01-31T22:43:00Z,2013-02-05T23:43:00Z,SR-1541,Payne Branch,Both Directions,SR-1549,Winkler's Creek,1,Road Closed,Weather Event,1,None,NA,2013-01-31,5.041666666666666
414567,2013-02-01T05:00:00Z,2013-02-08T17:01:00Z,SR-1222,Methodist Camp Rd,Heading South,SR-1159,SR-1159,36.36656318,Road Closed,Weather Event,1,None,Debris on Bridge.,2013-02-01,7.500694444444444
414697,2013-01-31T13:51:00Z,2013-12-31T22:00:00Z,SR-1345,Farmers Fish Camp,Heading East,NC-93,NC-93,36.54262014,Road Closed,Weather Event,1,None,Bridge is completely out due to Winter Weather and Flooding.  Road will be out until further notice.,2013-01-31,151.33958333333334
414858,2013-02-08T10:07:00Z,2013-02-08T15:30:00Z,NC-12,NC-12,Both Directions,NA,NA,35.6078011,Lanes Narrowed,Weather Event,1,None,"Due to high water NC-12 is closed near Rodanthe/Mirlo Beach. At this time, only 4-wheel drive vehicles are being permitted to travel in this area.",2013-02-08,0.22430555555555554
415578,2013-02-26T15:00:00Z,2013-02-26T22:00:00Z,NC-251,River Road,Both Directions,SR-1002,Old Leicester,35.62840998,Road Closed,Weather Event,1,None,Flooding,2013-02-26,0.29166666666666663
